Player,Team,G,AB,PA,R,H,1B,2B,3B,HR,RBI,TBB,Avg,Slg,Obp.,HBP,SB,SH/B,SF,Int,K,CS,SB%
Alex Ibarra,Caimaneros,7,10,13,3,2,2,0,0,0,1,3,200,200,385,0,0,0,0,0,6,0,0
Luis Angueira,Sto Domingo,7,8,12,2,2,2,0,0,0,0,4,250,250,500,0,1,0,0,0,1,0,1000
Jordan Ramirez,Sto Domingo,5,12,12,1,3,2,1,0,0,4,0,250,333,250,0,0,0,0,0,2,0,0
Guillermo Constancio,Marlins,7,9,11,2,1,0,1,0,0,1,2,111,222,273,0,1,0,0,0,5,0,1000
Luciano Morales,Caimaneros,8,9,11,2,3,2,1,0,0,2,2,333,444,455,0,0,0,0,0,3,0,0
José Carrasco Riera,Caimaneros,4,9,11,4,5,4,1,0,0,3,2,556,667,636,0,0,0,0,0,0,0,0
Francisco Placencio,Sto Domingo,3,6,11,0,1,1,0,0,0,2,3,167,167,455,1,0,0,1,0,2,0,0
Diego Jerez,Marlins,7,5,10,3,1,1,0,0,0,1,4,200,200,500,0,0,0,1,0,1,0,0
Robert Schroll,Giants,4,9,10,2,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,5,0,0
Manuel Mateo,Sto Domingo,3,7,10,2,0,0,0,0,0,1,2,0,0,300,1,1,0,0,0,3,0,1000
Hans Luttecke,Marlins,5,5,9,0,1,1,0,0,0,1,2,200,200,556,2,1,0,0,0,4,1,500
Esloydys Vargas,Marlins,5,7,9,1,0,0,0,0,0,1,2,0,0,222,0,1,0,0,0,1,0,1000
Alfredo Pedrón,Caimaneros,5,7,9,2,1,1,0,0,0,0,1,143,143,250,0,1,1,0,0,3,0,1000
Dave Griffith,Giants,3,8,9,2,4,4,0,0,0,2,1,500,500,556,0,1,0,0,0,3,0,1000
Braily Compres,Sto Domingo,3,6,9,2,1,0,0,1,0,2,2,167,500,444,1,1,0,0,0,2,0,1000
Thomas Smith,Piratas,2,6,8,1,1,1,0,0,0,1,2,167,167,375,0,0,0,0,0,0,0,0
Miguel Espinoza,Sto Domingo,5,7,8,1,2,2,0,0,0,2,1,286,286,375,0,0,0,0,0,1,0,0
Richard Jimenez,Caimaneros,7,5,7,0,1,1,0,0,0,1,2,200,200,429,0,0,0,0,0,3,0,0
Jesus Serrano,Cuba,4,5,7,1,0,0,0,0,0,0,1,0,0,286,1,0,0,0,0,3,1,0
Isaac Wilding,Giants,5,7,7,0,1,1,0,0,0,0,0,143,143,143,0,0,0,0,0,5,0,0
Antonio Salas,Sto Domingo,4,4,7,0,0,0,0,0,0,0,3,0,0,429,0,0,0,0,0,0,1,0
Hector Olivero,Sto Domingo,4,4,7,2,1,1,0,0,0,0,3,250,250,571,0,2,0,0,0,2,0,1000
Fernando Arias,Sto Domingo,4,7,7,0,2,2,0,0,0,0,0,286,286,286,0,0,0,0,0,3,1,0
Antonio Vergara,Piratas,6,6,6,1,1,1,0,0,0,0,0,167,167,167,0,0,0,0,0,2,0,0
Ramsés Ruiz,Cuba,6,4,6,2,1,1,0,0,0,0,2,250,250,500,0,2,0,0,0,2,0,1000
Max Guerra,Giants,2,4,6,0,0,0,0,0,0,1,2,0,0,333,0,0,0,0,0,4,0,0
Natanai Roa,Sto Domingo,6,3,6,2,1,1,0,0,0,1,3,333,333,667,0,1,0,0,0,1,0,1000
Carlos Olivero,Sto Domingo,6,4,6,1,1,1,0,0,0,1,2,250,250,500,0,0,0,0,0,2,0,0
Cristofer Feliz,Marlins,5,5,5,0,1,0,1,0,0,0,0,200,400,200,0,0,0,0,0,3,0,0
Samuel Jaque,Piratas,1,4,5,1,1,1,0,0,0,1,1,250,250,400,0,0,0,0,0,0,0,0
Anthony Medrano,Giants,2,4,5,0,1,0,0,1,0,1,1,250,750,400,0,0,0,0,0,0,0,0
Etanislao Guzmán,Sto Domingo,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Omar Morla,Sto Domingo,2,4,5,1,0,0,0,0,0,0,1,0,0,200,0,0,0,0,0,1,0,0
Alejandro Reyes,Marlins,2,2,4,0,0,0,0,0,0,0,2,0,0,500,0,1,0,0,0,2,0,1000
Luis Jimenez,Marlins,2,4,4,0,1,1,0,0,0,1,0,250,250,250,0,0,0,0,0,3,0,0
Jairo Manzanillo,Marlins,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Ricardo Andarcia,Piratas,1,2,4,1,0,0,0,0,0,0,0,0,0,500,2,0,0,0,0,2,0,0
José Carrasco A.,Cuba,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Arturo Arranz,Cuba,2,3,4,0,0,0,0,0,0,0,1,0,0,250,0,0,0,0,0,3,0,0
David Mills,Giants,3,4,4,0,1,1,0,0,0,0,0,250,250,250,0,0,0,0,0,2,0,0
Edmundo Garcia,Giants,1,3,4,1,1,1,0,0,0,1,1,333,333,500,0,0,0,0,0,1,0,0
Martin Ferreira,Sto Domingo,3,3,4,0,0,0,0,0,0,0,1,0,0,250,0,0,0,0,0,1,0,0
Franco Roncagliolo,Marlins,7,3,3,0,1,1,0,0,0,1,0,333,333,333,0,0,0,0,0,1,0,0
José Flores,Caimaneros,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Thomas Salas,Piratas,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Jordan Duran,Sto Domingo,1,3,3,0,1,1,0,0,0,1,0,333,333,333,0,0,0,0,0,2,1,0
Rafael Peña,Marlins,3,2,2,0,1,1,0,0,0,2,0,500,500,500,0,0,0,0,0,1,0,0
Melvin Plujimers,Marlins,3,2,2,0,1,1,0,0,0,0,0,500,500,500,0,0,0,0,0,0,0,0
Gustavo Castellanos,Caimaneros,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jairo Espinosa,Cuba,2,2,2,0,1,0,1,0,0,2,0,500,1000,500,0,0,0,0,0,0,0,0
Gabriel Perez,Cuba,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Shaun Sheffield,Giants,1,2,2,0,1,1,0,0,0,1,0,500,500,500,0,1,0,0,0,0,0,1000
Geoff Hendricks,Giants,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erick Hartmann,Giants,1,1,2,0,0,0,0,0,0,0,1,0,0,500,0,0,0,0,0,1,0,0
Ruben Rosa,Sto Domingo,2,0,2,0,0,0,0,0,0,0,2,0,0,1000,0,0,0,0,0,0,0,0
Maickel Prieto,Caimaneros,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir Hernandez,Cuba,7,0,1,1,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0
Pablo Guerra,Giants,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Abreu,Sto Domingo,6,0,1,0,0,0,0,0,0,0,1,0,0,1000,0,0,0,0,0,0,0,0
Michael Santana,Marlins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patricio Morales M.,Piratas,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Perdomo,Cuba,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Brown,Giants,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Sanchez,Sto Domingo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
